Taille;Morphologie;Methode;Nb_visites;Temps
50;ABR_presque_complet;Naif;139;0.000002000
50;ABR_presque_complet;Definition;50;0.000002000
50;ABR_presque_complet;Infixe;50;0.000001000
50;ABR_presque_complet;Naif;139;0.000002000
50;ABR_presque_complet;Definition;50;0.000000000
50;ABR_presque_complet;Infixe;50;0.000001000
50;ABR_presque_complet;Naif;139;0.000002000
50;ABR_presque_complet;Definition;50;0.000000000
50;ABR_presque_complet;Infixe;50;0.000001000
50;ABR_presque_complet;Naif;139;0.000001000
50;ABR_presque_complet;Definition;50;0.000001000
50;ABR_presque_complet;Infixe;50;0.000001000
50;ABR_presque_complet;Naif;139;0.000001000
50;ABR_presque_complet;Definition;50;0.000001000
50;ABR_presque_complet;Infixe;50;0.000001000
50;non_ABR_presque_complet;Naif;8;0.000001000
50;non_ABR_presque_complet;Definition;6;0.000000000
50;non_ABR_presque_complet;Infixe;6;0.000001000
50;non_ABR_presque_complet;Naif;8;0.000001000
50;non_ABR_presque_complet;Definition;6;0.000000000
50;non_ABR_presque_complet;Infixe;6;0.000001000
50;non_ABR_presque_complet;Naif;8;0.000000000
50;non_ABR_presque_complet;Definition;6;0.000000000
50;non_ABR_presque_complet;Infixe;6;0.000001000
50;non_ABR_presque_complet;Naif;8;0.000000000
50;non_ABR_presque_complet;Definition;6;0.000000000
50;non_ABR_presque_complet;Infixe;6;0.000001000
50;non_ABR_presque_complet;Naif;8;0.000001000
50;non_ABR_presque_complet;Definition;6;0.000000000
50;non_ABR_presque_complet;Infixe;6;0.000001000
50;ABR_filiforme;Naif;144;0.000003000
50;ABR_filiforme;Definition;50;0.000002000
50;ABR_filiforme;Infixe;50;0.000001000
50;ABR_filiforme;Naif;147;0.000002000
50;ABR_filiforme;Definition;50;0.000002000
50;ABR_filiforme;Infixe;50;0.000002000
50;ABR_filiforme;Naif;147;0.000002000
50;ABR_filiforme;Definition;50;0.000002000
50;ABR_filiforme;Infixe;50;0.000001000
50;ABR_filiforme;Naif;147;0.000002000
50;ABR_filiforme;Definition;50;0.000001000
50;ABR_filiforme;Infixe;50;0.000002000
50;ABR_filiforme;Naif;147;0.000002000
50;ABR_filiforme;Definition;50;0.000001000
50;ABR_filiforme;Infixe;50;0.000001000
50;non_ABR_filiforme;Naif;139;0.000002000
50;non_ABR_filiforme;Definition;50;0.000001000
50;non_ABR_filiforme;Infixe;2;0.000001000
50;non_ABR_filiforme;Naif;145;0.000002000
50;non_ABR_filiforme;Definition;50;0.000001000
50;non_ABR_filiforme;Infixe;4;0.000001000
50;non_ABR_filiforme;Naif;144;0.000002000
50;non_ABR_filiforme;Definition;50;0.000002000
50;non_ABR_filiforme;Infixe;3;0.000000000
50;non_ABR_filiforme;Naif;140;0.000002000
50;non_ABR_filiforme;Definition;50;0.000002000
50;non_ABR_filiforme;Infixe;3;0.000001000
50;non_ABR_filiforme;Naif;143;0.000002000
50;non_ABR_filiforme;Definition;50;0.000001000
50;non_ABR_filiforme;Infixe;5;0.000001000
50;ABR_quelconque;Naif;143;0.000003000
50;ABR_quelconque;Definition;50;0.000001000
50;ABR_quelconque;Infixe;50;0.000002000
50;ABR_quelconque;Naif;142;0.000002000
50;ABR_quelconque;Definition;50;0.000001000
50;ABR_quelconque;Infixe;50;0.000001000
50;ABR_quelconque;Naif;137;0.000003000
50;ABR_quelconque;Definition;50;0.000001000
50;ABR_quelconque;Infixe;50;0.000001000
50;ABR_quelconque;Naif;136;0.000002000
50;ABR_quelconque;Definition;50;0.000001000
50;ABR_quelconque;Infixe;50;0.000001000
50;ABR_quelconque;Naif;139;0.000002000
50;ABR_quelconque;Definition;50;0.000001000
50;ABR_quelconque;Infixe;50;0.000001000
50;non_ABR_quelconque;Naif;8;0.000001000
50;non_ABR_quelconque;Definition;4;0.000000000
50;non_ABR_quelconque;Infixe;4;0.000001000
50;non_ABR_quelconque;Naif;6;0.000000000
50;non_ABR_quelconque;Definition;5;0.000001000
50;non_ABR_quelconque;Infixe;5;0.000001000
50;non_ABR_quelconque;Naif;11;0.000001000
50;non_ABR_quelconque;Definition;6;0.000001000
50;non_ABR_quelconque;Infixe;6;0.000001000
50;non_ABR_quelconque;Naif;9;0.000000000
50;non_ABR_quelconque;Definition;8;0.000000000
50;non_ABR_quelconque;Infixe;8;0.000000000
50;non_ABR_quelconque;Naif;18;0.000001000
50;non_ABR_quelconque;Definition;3;0.000001000
50;non_ABR_quelconque;Infixe;3;0.000001000
100;ABR_presque_complet;Naif;287;0.000002000
100;ABR_presque_complet;Definition;100;0.000001000
100;ABR_presque_complet;Infixe;100;0.000002000
100;ABR_presque_complet;Naif;287;0.000002000
100;ABR_presque_complet;Definition;100;0.000001000
100;ABR_presque_complet;Infixe;100;0.000001000
100;ABR_presque_complet;Naif;287;0.000001000
100;ABR_presque_complet;Definition;100;0.000001000
100;ABR_presque_complet;Infixe;100;0.000001000
100;ABR_presque_complet;Naif;287;0.000002000
100;ABR_presque_complet;Definition;100;0.000000000
100;ABR_presque_complet;Infixe;100;0.000001000
100;ABR_presque_complet;Naif;287;0.000001000
100;ABR_presque_complet;Definition;100;0.000001000
100;ABR_presque_complet;Infixe;100;0.000001000
100;non_ABR_presque_complet;Naif;9;0.000001000
100;non_ABR_presque_complet;Definition;7;0.000000000
100;non_ABR_presque_complet;Infixe;7;0.000000000
100;non_ABR_presque_complet;Naif;9;0.000000000
100;non_ABR_presque_complet;Definition;7;0.000000000
100;non_ABR_presque_complet;Infixe;7;0.000001000
100;non_ABR_presque_complet;Naif;9;0.000000000
100;non_ABR_presque_complet;Definition;7;0.000000000
100;non_ABR_presque_complet;Infixe;7;0.000001000
100;non_ABR_presque_complet;Naif;9;0.000000000
100;non_ABR_presque_complet;Definition;7;0.000000000
100;non_ABR_presque_complet;Infixe;7;0.000001000
100;non_ABR_presque_complet;Naif;9;0.000000000
100;non_ABR_presque_complet;Definition;7;0.000000000
100;non_ABR_presque_complet;Infixe;7;0.000001000
100;ABR_filiforme;Naif;293;0.000004000
100;ABR_filiforme;Definition;100;0.000002000
100;ABR_filiforme;Infixe;100;0.000002000
100;ABR_filiforme;Naif;295;0.000002000
100;ABR_filiforme;Definition;100;0.000002000
100;ABR_filiforme;Infixe;100;0.000002000
100;ABR_filiforme;Naif;296;0.000003000
100;ABR_filiforme;Definition;100;0.000002000
100;ABR_filiforme;Infixe;100;0.000003000
100;ABR_filiforme;Naif;296;0.000003000
100;ABR_filiforme;Definition;100;0.000002000
100;ABR_filiforme;Infixe;100;0.000002000
100;ABR_filiforme;Naif;292;0.000003000
100;ABR_filiforme;Definition;100;0.000002000
100;ABR_filiforme;Infixe;100;0.000002000
100;non_ABR_filiforme;Naif;287;0.000003000
100;non_ABR_filiforme;Definition;100;0.000002000
100;non_ABR_filiforme;Infixe;2;0.000000000
100;non_ABR_filiforme;Naif;286;0.000003000
100;non_ABR_filiforme;Definition;100;0.000002000
100;non_ABR_filiforme;Infixe;2;0.000001000
100;non_ABR_filiforme;Naif;294;0.000003000
100;non_ABR_filiforme;Definition;100;0.000002000
100;non_ABR_filiforme;Infixe;3;0.000000000
100;non_ABR_filiforme;Naif;291;0.000003000
100;non_ABR_filiforme;Definition;100;0.000002000
100;non_ABR_filiforme;Infixe;9;0.000001000
100;non_ABR_filiforme;Naif;295;0.000003000
100;non_ABR_filiforme;Definition;100;0.000002000
100;non_ABR_filiforme;Infixe;3;0.000001000
100;ABR_quelconque;Naif;290;0.000004000
100;ABR_quelconque;Definition;100;0.000002000
100;ABR_quelconque;Infixe;100;0.000002000
100;ABR_quelconque;Naif;289;0.000003000
100;ABR_quelconque;Definition;100;0.000002000
100;ABR_quelconque;Infixe;100;0.000002000
100;ABR_quelconque;Naif;290;0.000003000
100;ABR_quelconque;Definition;100;0.000001000
100;ABR_quelconque;Infixe;100;0.000002000
100;ABR_quelconque;Naif;288;0.000002000
100;ABR_quelconque;Definition;100;0.000002000
100;ABR_quelconque;Infixe;100;0.000002000
100;ABR_quelconque;Naif;288;0.000003000
100;ABR_quelconque;Definition;100;0.000002000
100;ABR_quelconque;Infixe;100;0.000002000
100;non_ABR_quelconque;Naif;9;0.000000000
100;non_ABR_quelconque;Definition;7;0.000000000
100;non_ABR_quelconque;Infixe;6;0.000000000
100;non_ABR_quelconque;Naif;8;0.000000000
100;non_ABR_quelconque;Definition;7;0.000000000
100;non_ABR_quelconque;Infixe;7;0.000000000
100;non_ABR_quelconque;Naif;5;0.000001000
100;non_ABR_quelconque;Definition;4;0.000001000
100;non_ABR_quelconque;Infixe;4;0.000000000
100;non_ABR_quelconque;Naif;21;0.000001000
100;non_ABR_quelconque;Definition;11;0.000000000
100;non_ABR_quelconque;Infixe;7;0.000001000
100;non_ABR_quelconque;Naif;5;0.000001000
100;non_ABR_quelconque;Definition;3;0.000000000
100;non_ABR_quelconque;Infixe;3;0.000001000
200;ABR_presque_complet;Naif;585;0.000003000
200;ABR_presque_complet;Definition;200;0.000002000
200;ABR_presque_complet;Infixe;200;0.000001000
200;ABR_presque_complet;Naif;585;0.000003000
200;ABR_presque_complet;Definition;200;0.000001000
200;ABR_presque_complet;Infixe;200;0.000001000
200;ABR_presque_complet;Naif;585;0.000003000
200;ABR_presque_complet;Definition;200;0.000001000
200;ABR_presque_complet;Infixe;200;0.000002000
200;ABR_presque_complet;Naif;585;0.000003000
200;ABR_presque_complet;Definition;200;0.000002000
200;ABR_presque_complet;Infixe;200;0.000003000
